capitulo,archivo,ruta_relativa,script_generador,reporte_donde_aparece,descripcion_1linea
01_dimensionalidad,fig_dimensionalidad.png,figures/01_dimensionalidad/fig_dimensionalidad.png,(sprint dimensionalidad — sin script en repo),reporte_dimensionalidad.md,Horn/Velicer/bootstrap: el dato soporta 2-3 factores; car_salud casi ortogonal
01_dimensionalidad,fig_robustez_k.png,figures/01_dimensionalidad/fig_robustez_k.png,(confirmatorio K — sin script en repo),reporte_confirmatorio_k.md,K=3 vs K=2 por indicador y baseline ridge/KNN
02_escalera_gllvm,fig_escalera_cargas.png,figures/02_escalera_gllvm/fig_escalera_cargas.png,scripts/analyze_ladder.py,reporte_gllvm_escalera.md,Cargas por peldaño alineadas por Procrustes al peldaño 1 (K=3)
02_escalera_gllvm,fig_escalera_metricas.png,figures/02_escalera_gllvm/fig_escalera_metricas.png,scripts/analyze_ladder.py,reporte_gllvm_escalera.md,Moran residual / ELPD-LOO / sd latente por peldaño y K
02_escalera_gllvm,fig_escalera_vardecomp.png,figures/02_escalera_gllvm/fig_escalera_vardecomp.png,scripts/analyze_ladder.py,reporte_gllvm_escalera.md,Descomposición de varianza por indicador y bloque en los 4 peldaños
02_escalera_gllvm,fig_gamma_estados.png,figures/02_escalera_gllvm/fig_gamma_estados.png,scripts/analyze_ladder.py,reporte_gllvm_escalera.md,Efectos estatales del peldaño 3: test DAG (SAE vs directos) y correlación con PIBE/gasto
03_lisa_discordancia,fig_regimenes_lisa.png,figures/03_lisa_discordancia/fig_regimenes_lisa.png,(sprint LISA — sin script en repo),reporte_regimenes_lisa.md,Regímenes AA (más marginado que pobre) y BB con sus perfiles
03_lisa_discordancia,fig_modelo_externo.png,figures/03_lisa_discordancia/fig_modelo_externo.png,(modelo externo — sin script en repo),reporte_modelo_externo.md,Dependencia espacial residual con cofactores externos (justifica el componente espacial)
04_diagnostico_mapas,fig_mapa_diagnostico.png,figures/04_diagnostico_mapas/fig_mapa_diagnostico.png,scripts/mapa_diagnostico.py,README.md (hito 10),4 paneles: discordancia observable / z material residual / incertidumbre / régimen LISA
04_diagnostico_mapas,fig_mapa_latente_material.png,figures/04_diagnostico_mapas/fig_mapa_latente_material.png,(sesión paralela — sin script en repo),—,Mapa insignia del z material con incertidumbre y top discordantes Tarahumara
05_dag,fig_dag_main.png,figures/05_dag/fig_dag_main.png,scripts/fig_dag_main.py,reporte_dgp_dag.md,Vista principal del DAG (25 nodos con placas ×N; verificada contra dag_edges.csv)
05_dag,fig_dag_full.png,figures/05_dag/fig_dag_full.png,scripts/fig_dag.py,reporte_dgp_dag.md,Vista completa auditable (56 nodos / 97 aristas; acíclico verificado con networkx)
05_dag,fig_dag_pesado.png,figures/05_dag/fig_dag_pesado.png,(sesión paralela — pipeline dag_edges_weighted),—,DAG con pesos empíricos por arista
05_dag,fig_dag_suplementaria.png,figures/05_dag/fig_dag_suplementaria.png,(sesión paralela — análisis de red),—,Vista suplementaria del análisis de red (centralidades)
05_dag,fig_dos_varas_dinero.png,figures/05_dag/fig_dos_varas_dinero.png,scripts/fig_dos_varas.py,reporte_dgp_dag.md §4b,Dos varas dos Méxicos + brecha de +19% en Ramo 33 pc entre regímenes AA y BB
05_dag,fig_b_piso_incremento.png,figures/05_dag/fig_b_piso_incremento.png,scripts/b_fism_descomposicion.py,paper2_desigualdad.md §7.3 (Figura 6),Descomposición FISM 2020 = piso 2013 + incremento: la brecha AA/BB se concentra en el piso (sugestivo; IC de la diferencia cruza cero)
05_dag,fig_b_cobertura_sesgo.png,figures/05_dag/fig_b_cobertura_sesgo.png,scripts/b_fism_descomposicion.py,paper2_desigualdad.md §7.3 (suplemento),Gate de cobertura del test piso/incremento: intersección SRFT 2013∩2020 sesgada a municipios grandes y menos rurales
06_validacion_homicidios,fig_validacion_homicidios.png,figures/06_validacion_homicidios/fig_validacion_homicidios.png,scripts/validacion_homicidios.py,reporte_validacion_homicidios.md,R² CV de cada conjunto predictor sobre la tasa de homicidios 2019-2021
07_satelital,fig_satelital_delta.png,figures/07_satelital/fig_satelital_delta.png,scripts/fig_satelital_cierre.py,reporte_satelital.md,ΔR² de las lentes sobre Vista D (factores brutos / indicadores observados / residual)
07_satelital,fig_satelital_discordancia.png,figures/07_satelital/fig_satelital_discordancia.png,scripts/satelital_discordancia.py,reporte_satelital.md,Dispersión z observado vs predicho por lentes con colas etiquetadas (material y monetario)
07_satelital,fig_satelital_mapa.png,figures/07_satelital/fig_satelital_mapa.png,scripts/fig_satelital_cierre.py,reporte_satelital.md,Mapa de la discordancia satelital; cinturón azul = corredor de remesas (~20× IC95 14-28)
07_satelital,fig_b_curva_quiebre.png,figures/07_satelital/fig_b_curva_quiebre.png,scripts/b_luz_desarrollo.py,reporte_satelital.md,Curva luz-privación con quiebres (0.015/0.30 nW) y regímenes; sin saturación municipal; umbrales regionales distintos
07_satelital,fig_b_escalera_complejidad.png,figures/07_satelital/fig_b_escalera_complejidad.png,scripts/b_luz_desarrollo.py,reporte_satelital.md,Escalera de complejidad OLS-spline-hgb: el canónico log-lineal da 0.005 y nada simple alcanza el 90% del sofisticado
04_diagnostico_mapas,fig_mapas_canonicos.png,figures/04_diagnostico_mapas/fig_mapas_canonicos.png,scripts/mapas_canonicos.py,reporte_gllvm_escalera.md (cierre),2×3: media y sd posterior de los tres ejes canónicos del marginalizado convergido
04_diagnostico_mapas,fig_certeza_canonica.png,figures/04_diagnostico_mapas/fig_certeza_canonica.png,scripts/mapas_canonicos.py,reporte_gllvm_escalera.md (cierre),Certeza |z|/sd en 3 bandas por eje (sustantivo: 42/54/14% de municipios)
04_diagnostico_mapas,fig_acumulacion.png,figures/04_diagnostico_mapas/fig_acumulacion.png,scripts/desigualdad.py,reporte_desigualdad.md,Acumulación multidimensional 0-3 dimensiones severas (geografías residuales débilmente solapadas)
08_crimen,fig_g_presencia_competencia.png,figures/08_crimen/fig_g_presencia_competencia.png,scripts/build_vistaG.py,reporte_crimen_desigualdad.md (pendiente),Presencia y competencia criminal documentada (OCVED) 2000-2018 y ventana 2015-2018
09_desigualdad,fig_theil_escalas.png,figures/09_desigualdad/fig_theil_escalas.png,scripts/fig_theil_escalas.py,paper2_desigualdad.md §4,Barras apiladas entre/dentro de estados: Theil por indicador y varianza por eje (dos paneles no comparables)
